,state
0,Rio Grande do Sul
1,Bahia
2,Paraiba
3,Paraiba
4,Piaui
5,Minas Gerais
6,Minas Gerais
7,Minas Gerais
8,Sao Paulo
9,Rio de Janeiro
10,Paraiba
11,Sao Paulo
12,Rio de Janeiro
13,Sao Paulo
14,Sao Paulo
15,Parana
16,Mato Grosso
17,Parana
18,Rio de Janeiro
19,Sao Paulo
20,Bahia
21,Sao Paulo
22,Parana
23,Espirito Santo
24,Rio Grande do Norte
25,Sao Paulo
26,Minas Gerais
27,Rio Grande do Sul
28,Sergipe
29,Rio Grande do Sul
30,Ceara
31,Parana
32,Paraiba
33,Pernambuco
34,Goias
35,Paraiba
36,Minas Gerais
37,Minas Gerais
38,Minas Gerais
39,Rondonia
40,Minas Gerais
41,Bahia
42,Sao Paulo
43,Sao Paulo
44,Sergipe
45,Sao Paulo
46,Minas Gerais
47,Minas Gerais
48,Minas Gerais
49,Rio Grande do Norte
50,Minas Gerais
51,Sao Paulo
52,Rio Grande do Sul
53,Bahia
54,Sao Paulo
55,Parana
56,Minas Gerais
57,Santa Catarina
58,Sao Paulo
59,Sao Paulo
60,Sao Paulo
61,Santa Catarina
62,Goias
63,Santa Catarina
64,Santa Catarina
65,Sao Paulo
66,Sao Paulo
67,Goias
68,Rondonia
69,Para
70,Minas Gerais
71,Bahia
72,Rio Grande do Sul
73,Minas Gerais
74,Bahia
75,Goias
76,Paraiba
77,Santa Catarina
78,Mato Grosso do Sul
79,Parana
80,Minas Gerais
81,Sao Paulo
82,Rio Grande do Sul
83,Goias
84,Piaui
85,Parana
86,Maranhao
87,Goias
88,Paraiba
89,Sao Paulo
90,Rio Grande do Sul
91,Parana
92,Minas Gerais
93,Mato Grosso
94,Para
95,Minas Gerais
96,Rio de Janeiro
97,Mato Grosso do Sul
98,Espirito Santo
99,Rio Grande do Sul
100,Sao Paulo
101,Bahia
102,Sao Paulo
103,Piaui
104,Santa Catarina
105,Goias
106,Minas Gerais
107,Pernambuco
108,Sao Paulo
109,Para
110,Sao Paulo
111,Para
112,Rio Grande do Sul
113,Sao Paulo
114,Rondonia
115,Paraiba
116,Bahia
117,Maranhao
118,Mato Grosso
119,Rio Grande do Norte
120,Ceara
121,Sergipe
122,Santa Catarina
123,Paraiba
124,Parana
125,Rio Grande do Sul
126,Piaui
127,Pernambuco
128,Sao Paulo
129,Maranhao
130,Rio Grande do Sul
131,Sao Paulo
132,Sao Paulo
133,Sao Paulo
134,Minas Gerais
135,Minas Gerais
136,Alagoas
137,Paraiba
138,Bahia
139,Sao Paulo
140,Mato Grosso do Sul
141,Minas Gerais
142,Sao Paulo
143,Parana
144,Minas Gerais
145,Bahia
146,Sao Paulo
147,Bahia
148,Minas Gerais
149,Goias
150,Ceara
151,Parana
152,Minas Gerais
153,Bahia
154,Sao Paulo
155,Sergipe
156,Minas Gerais
157,Rondonia
158,Goias
159,Parana
160,Bahia
161,Amazonas
162,Sao Paulo
163,Santa Catarina
164,Espirito Santo
165,Maranhao
166,Bahia
167,Sao Paulo
168,Bahia
169,Parana
170,Mato Grosso do Sul
171,Rio Grande do Sul
172,Rio Grande do Sul
173,Pernambuco
174,Goias
175,Rio Grande do Sul
176,Sao Paulo
177,Minas Gerais
178,Minas Gerais
179,Sao Paulo
180,Espirito Santo
181,Bahia
182,Sao Paulo
183,Paraiba
184,Rio Grande do Sul
185,Parana
186,Parana
187,Rio de Janeiro
188,Bahia
189,Pernambuco
190,Santa Catarina
191,Para
192,Sao Paulo
193,Minas Gerais
194,Sao Paulo
195,Sao Paulo
196,Sao Paulo
197,Minas Gerais
198,Rio Grande do Sul
199,Santa Catarina
200,Maranhao
201,Parana
